sym_no,sym_id,title,authors,year,venue,category,note
2,1387518,A little of that human touch: achieving human-centric explainable AI via argumentation,"Rago A, Toni F",2024,IJCAI 2024 (Invited/Survey Paper),conference,IJCAI 2024 invited paper. Not indexed on DBLP under Toni (may be under Rago).
15,1649980,ArgLLM-App: an interactive system for argumentative reasoning with large language models,"Dejl A, Gorur D, Toni F",2026,AAMAS 2026,conference,Accepted at AAMAS 2026. Too new for DBLP.
16,1494797,Argtumour: integrating large language models and computational argumentation to discuss treatment options for high-grade glioma,"Dejl A, Ayoobi H, Cherrington C, Gardner D, Toni F, Pakzad-Shahabi L, Williams M",2025,"Neuro-Oncology, Vol 27, Supplement_2, p.ii26",journal,Published in medical journal Neuro-Oncology (Oxford). doi:10.1093/neuonc/noaf185.104
19,1414482,Argumentation and machine learning,"Rago A, Toni F et al.",2024,"Handbook of Formal Argumentation, Vol 2 (book chapter)",book_chapter,Book chapter in Handbook of Formal Argumentation. arXiv:2410.23724.
49,1322555,Explain What You See: Open-Ended Segmentation and Recognition of Occluded 3D Objects,"Unknown - likely Kori A, Glocker B, Toni F",2023,Unknown venue,conference,CV paper - unusual for ADIX. Possibly related to Kori PhD work. Not found on DBLP under Toni.
90,1240675,LRP-based argumentative explanations for neural networks,"Sukpanichnant P, Rago A, Lertvittayakumjorn P, Toni F",2021,XAI.it 2021 (Italian Workshop on Explainable AI),workshop,"CEUR Workshop Proceedings, pp.71-84. On DBLP but matcher missed due to different title normalization."
105,1341282,On the expressive power of assumption-based argumentation,"Rapberger A, Toni F, Ulbricht M",2024,Likely KR or COMMA 2024,conference,Theory paper on ABA expressiveness. Needs manual verification of exact venue.
111,1414481,Preface,Toni F et al.,2024,Conference proceedings preface (likely COMMA or ICLP),other,Not a research paper. Conference proceedings preface/editorial.
116,1316514,PySpArX - A Python library for generating Sparse Argumentative eXplanations for neural networks,"Mihailescu I, Weng A, Sharma S, Ghitu M, Grewal D, Chew K, Ayoobi H, Potyka N, Toni F",2023,ICLP 2023 (system description),conference,System/demo paper at ICLP 2023. EPTCS. On DBLP but title matching failed.
119,1359790,Redefining ABA+ semantics via abstract set-to-set attacks,"Rapberger A, Ulbricht M, Toni F",2024,Likely COMMA 2024 or workshop,conference,ABA+ semantics paper. Needs manual verification of exact venue.
125,1264556,Should counterfactual explanations always be data instances?,"Jiang J, Rago A, Toni F",2022,XLoKR 2022 (Workshop on Explainable Logic-Based Knowledge Representation),workshop,Position paper at XLoKR workshop. On DBLP but title matching missed.
128,1640358,Strength change explanations in quantitative argumentation,"Kampik T, Yin X, Potyka N, Toni F",2026,AAMAS 2026,conference,Accepted at AAMAS 2026. Too new for DBLP.
137,1612034,Using computational argumentation to integrate activity and quality of life data to predict disease progression in patients with high-grade glioma,"Williams M, Dejl A, Toni F et al.",2025,Neuro-Oncology (medical journal/conference abstract),journal,Medical application paper. Published in Neuro-Oncology.
